service,flag,logged_in,serror_rate,srv_serror_rate,same_srv_rate,dst_host_count,dst_host_srv_count,dst_host_serror_rate,dst_host_srv_serror_rate,class
imap4,REJ,0,0,0,0.06,255,15,0,0,neptune
private,S0,0,0.99,1,0.16,255,19,1,1,neptune
whois,S0,0,1,1,0.01,255,3,1,1,neptune
http,REJ,0,0,0,1,118,195,0,0,normal
other,REJ,0,0.08,0,0,255,1,0.11,0,satan
other,SF,0,0,0,0.27,255,6,0,0,satan
iso_tsap,S0,0,1,1,0.03,255,11,1,1,neptune
ecr_i,SF,0,0,0,1,247,247,0,0,normal
smtp,SF,1,0,0,1,89,117,0,0,normal
ftp_data,SF,0,0,0,1,201,5,0,0,normal
smtp,SF,1,0,0,1,163,69,0,0,normal
private,SF,0,0,0,0.97,255,34,0,0,teardrop
ftp_data,S0,0,1,1,0.07,255,42,1,1,neptune
private,S0,0,1,1,0.17,255,18,1,1,neptune
private,S0,0,1,1,0.05,255,15,1,1,neptune
smtp,SF,1,0,0,1,255,100,0,0,normal
http,SF,1,0,0,1,172,255,0,0,normal
ftp,SF,1,0,0,1,255,142,0,0,warezclient
http,SF,1,0,0,1,32,255,0,0,normal
private,S0,0,1,1,0.04,255,9,1,1,neptune
echo,S0,0,1,1,0.08,255,17,1,1,neptune
http,SF,1,0,0,1,44,255,0,0,normal
http,SF,1,0,0,1,11,28,0,0,normal
ftp_data,SF,1,0,0,1,205,50,0,0,normal
http,SF,1,0,0,1,41,52,0,0,normal
private,REJ,0,0,0,0,255,1,0,0,portsweep
http,SF,1,0,0,1,255,255,0,0,normal
http,SF,1,0,0,1,255,255,0,0,normal
klogin,S0,0,1,1,0.1,255,14,1,1,neptune
http,SF,1,0,0,1,202,255,0,0,normal
smtp,SF,1,0,0,1,255,20,0,0,normal
smtp,SF,1,0,0,1,214,166,0,0,normal
smtp,SF,1,0,0,0.5,28,104,0,0,normal
uucp_path,S0,0,1,1,0.09,255,18,1,1,neptune
http,SF,1,0,0,1,16,255,0,0,normal
http,SF,1,0,0,1,255,240,0,0,normal
netbios_ns,S0,0,1,1,0.15,255,19,1,1,neptune
private,REJ,0,0.05,0,0.01,255,1,0.03,0,satan
ecr_i,SF,0,0,0,1,2,38,0,0,pod
iso_tsap,S0,0,1,1,0.06,255,17,1,1,neptune
http,SF,1,0,0,1,255,255,0,0,normal
link,S0,0,1,1,0.08,255,22,1,1,neptune
sunrpc,S0,0,1,1,0.09,255,16,1,1,neptune
http,SF,1,0,0,1,128,255,0,0,normal
http,SF,1,0,0,1,37,255,0,0,normal
http,SF,1,0,0,1,34,255,0,0,normal
smtp,SF,1,0,0,1,193,185,0,0,normal
http,SF,1,0.1,0.09,1,39,255,0.03,0,normal
login,S0,0,1,1,0.03,255,3,1,1,neptune
ftp_data,SF,1,0,0,1,3,28,0,0,warezclient
finger,S0,0,1,1,0.08,255,20,1,1,neptune
eco_i,SF,0,0,0,1,1,25,0,0,ipsweep
http,SF,1,0,0,1,29,255,0.03,0,normal
http,SF,1,0,0,1,101,255,0,0,normal
kshell,S0,0,1,1,0.19,255,24,1,1,neptune
ftp_data,SF,1,0,0,1,255,44,0,0,normal
http,SF,1,0,0,1,2,2,0,0,normal
smtp,SF,1,0,0,1,255,157,0,0,normal
http,SF,1,0,0,1,38,255,0,0,normal
urp_i,SF,0,0,0,0.22,255,16,0,0,normal
private,SF,0,0,0,1,255,71,0,0,teardrop
domain_u,SF,0,0,0,1,255,232,0,0,normal
ftp,RSTO,0,0,0,0.01,255,3,0,0,neptune
auth,S0,0,1,1,0.03,255,7,1,1,neptune
kshell,S0,0,1,1,0.02,255,2,1,1,neptune
finger,SF,0,0,0,1,235,12,0,0,normal
http,SF,1,0,0,1,75,255,0,0,normal
http,SF,1,0.5,0.1,1,73,255,0.01,0,normal
eco_i,SF,0,0,0,1,1,123,0,0,ipsweep
vmnet,S0,0,1,1,0.01,255,3,1,1,neptune
telnet,S0,0,1,1,0.07,255,52,1,1,neptune
ftp_data,S0,0,1,1,0.03,255,8,1,1,neptune
http,SF,1,0,0,1,212,187,0,0.01,normal
private,S0,0,1,1,0.06,255,9,1,1,neptune
eco_i,SF,0,0,0,1,2,60,0,0,ipsweep
private,S0,0,1,1,0.07,255,19,1,1,neptune
http,SF,1,0,0,1,255,255,0,0,normal
eco_i,SF,0,0,0,1,1,63,0,0,ipsweep
telnet,SF,0,0,0,1,117,1,0,0,normal
http,SF,1,0,0,1,64,255,0,0,normal
other,RSTR,0,0,0,1,255,2,0,0,portsweep
sql_net,SH,0,1,1,1,255,1,1,1,nmap
ecr_i,SF,0,0,0,1,255,46,0,0,smurf
http,SF,1,0,0,1,230,255,0,0,normal
http,SF,1,0,0,1,137,255,0,0,normal
private,RSTR,0,0,0,1,255,1,0,0,portsweep
http,SF,1,0,0,1,13,255,0,0,normal
vmnet,S0,0,1,1,0.1,255,22,1,1,neptune
smtp,SF,1,0,0,1,27,129,0,0,normal
http,SF,1,0,0,1,230,255,0,0,normal
mtp,REJ,0,0,0,0.04,255,11,0,0,neptune
http,SF,1,0,0,1,5,255,0,0,normal
http,SF,1,0,0,1,127,255,0,0,normal
http,SF,1,0,0,1,255,255,0,0,normal
smtp,SF,1,0,0,1,106,156,0,0.01,normal
eco_i,SF,0,0,0,1,1,111,0,0,ipsweep
csnet_ns,S0,0,1,1,0,255,4,1,1,neptune
http,SF,1,0,0,1,255,255,0,0,normal
auth,REJ,0,0,0,0.05,255,14,0,0,neptune
http,REJ,0,0,0,1,7,255,0,0,normal
domain_u,SF,0,0,0,1,255,255,0,0,normal
http,SF,1,0,0,1,1,255,0,0,normal
http,SF,1,0,0,1,45,255,0,0,normal
vmnet,S0,0,1,1,0.04,255,10,1,1,neptune
private,S0,0,1,1,0.05,255,10,1,1,neptune
telnet,SF,1,0,0,1,251,113,0.8,0.88,normal
http,SF,1,0,0,1,255,255,0,0,normal
http,SF,1,0,0,1,255,255,0,0,normal
http,S0,0,1,1,0.43,94,26,1,1,neptune
ftp_data,SF,1,0,0,1,11,88,0,0.01,normal
http,SF,1,0,0,1,77,255,0,0.01,normal
bgp,S0,0,1,1,0.18,255,25,1,1,neptune
domain_u,SF,0,0,0,1,255,245,0,0,normal
ftp,S0,0,1,1,0.02,255,7,1,1,neptune
time,S0,0,1,1,0.05,255,9,1,1,neptune
http,SF,1,0,0,1,255,255,0,0,normal
private,RSTR,0,0,0,1,255,2,0,0,portsweep
ftp,RSTO,0,0,0,1,212,43,0,0,normal
private,S0,0,1,1,0.1,255,30,1,1,neptune
sql_net,S0,0,1,1,0.04,255,18,1,1,neptune
http,SF,1,0,0,1,18,255,0,0,normal
http,SF,1,0,0,1,2,255,0,0,normal
http,SF,1,0,0,1,211,255,0,0,normal
http,SF,1,0,0,1,32,255,0,0,normal
eco_i,SF,0,0,0,1,4,112,0,0,nmap
other,SF,0,0,0,0.33,255,1,0,0,normal
private,S0,0,1,1,0.22,255,5,1,1,neptune
ftp_data,SF,0,0,0,1,53,38,0,0,normal
hostnames,REJ,0,0,0,0.01,255,2,0,0,neptune
telnet,S0,0,0.97,1,0.24,255,52,1,1,neptune
ftp_data,SF,1,0,0.14,1,7,42,0,0.02,warezclient
http,SF,1,0,0,1,255,255,0,0,normal
eco_i,SF,0,0,0,1,1,61,0,0,ipsweep
smtp,S0,0,0.5,0.5,1,160,101,0.01,0.02,normal
http,SF,1,0,0,1,54,255,0,0,normal
time,RSTR,0,0,0,1,255,1,0,0,portsweep
ftp_data,SF,1,0,0,1,255,81,0,0,normal
uucp,S0,0,1,1,0.09,255,13,1,1,neptune
http,SF,1,0.04,0.03,1,255,255,0,0,normal
exec,RSTO,0,0,0,0.11,255,9,0,0,neptune
netbios_dgm,S0,0,1,1,0.08,255,19,1,1,neptune
http,SF,1,0,0,1,107,255,0,0,normal
ecr_i,SF,0,0,0,1,255,255,0,0,smurf
eco_i,SF,0,0,0,1,1,11,0,0,ipsweep
private,REJ,0,0.17,0,0.03,255,1,0.02,0,satan
private,SF,0,0,0,0.67,255,239,0,0,normal
private,S0,0,1,1,0.07,255,17,1,1,neptune
smtp,SF,1,0,0,1,202,154,0,0,normal
telnet,S0,0,1,1,0.02,255,7,1,1,neptune
private,S0,0,1,1,0.02,255,14,1,1,neptune
Z39_50,S0,0,1,1,0.01,255,5,1,1,neptune
smtp,SF,1,0,0,0.5,255,11,0,0.09,normal
http_443,S0,0,1,1,0.07,255,3,1,1,neptune
http,SF,1,0,0,1,255,255,0,0,normal
http,SF,1,0,0,1,255,255,0,0,normal
http,SF,1,0,0,1,255,255,0,0,normal
domain_u,SF,0,0,0,1,255,36,0,0,normal
private,REJ,0,0,0,0.5,255,1,0.01,0,portsweep
private,RSTR,0,0,0,1,255,1,0,0,portsweep
domain_u,SF,0,0,0,1,255,234,0,0,normal
http,SF,1,0,0,1,255,255,0,0,normal
private,S0,0,1,1,0.03,255,7,1,1,neptune
http,SF,1,0,0,1,142,255,0,0,normal
smtp,SF,1,0,0,1,128,164,0,0,normal
http,SF,1,0,0,1,69,255,0,0,normal
telnet,S0,0,1,1,0.1,255,8,1,1,neptune
private,REJ,0,0,0,0.07,255,6,0,0,neptune
http,SF,1,0,0,1,66,255,0,0,normal
private,S0,0,1,1,0.03,255,2,1,1,neptune
ntp_u,SF,0,0,0,1,42,23,0,0,normal
http,SF,1,0,0,1,14,255,0,0,normal
bgp,S0,0,1,1,0.08,255,12,1,1,neptune
urp_i,SF,0,0,0,0.4,255,16,0,0,normal
private,S0,0,1,1,0.01,255,5,1,1,neptune
http,REJ,0,0,0,1,8,38,0,0,normal
discard,S0,0,1,1,0.07,255,19,1,1,neptune
private,REJ,0,0,0,1,37,2,0,0,ipsweep
private,REJ,0,0,0,0.5,255,1,0,0,portsweep
http,SF,1,0,0,1,57,255,0,0,normal
supdup,S0,0,1,1,0.01,255,3,1,1,neptune
http,SF,1,0,0,1,159,255,0,0,normal
other,REJ,0,0.08,0,0,255,1,0.08,0,satan
http,SF,1,0,0,1,255,255,0,0,normal
http,S0,0,1,0.43,0.05,255,13,1,1,neptune
http,SF,1,0,0,1,58,255,0,0,normal
uucp_path,REJ,0,0,0,0.01,255,3,0,0,neptune
ftp_data,SF,0,0,0,1,6,2,0,0,normal
smtp,SF,1,0,0,1,246,64,0,0,normal
http,SF,1,0,0,1,62,255,0,0.01,normal
sql_net,S0,0,1,1,0.15,255,18,1,1,neptune
http,REJ,0,0,0,1,12,255,0,0,normal
http,SF,1,0,0,1,106,255,0,0,normal
eco_i,SF,0,0,0,1,2,255,0,0,ipsweep
http,SF,1,0,0,1,251,251,0,0,back
http,SF,1,0,0,1,59,255,0,0,normal
ftp_data,S0,0,1,1,0.24,124,62,0.98,0.48,neptune
private,S0,0,1,1,0.04,255,10,1,1,neptune
http,SF,1,0,0,1,250,255,0,0,normal
http,SF,1,0,0,1,28,255,0,0,normal
http,SF,1,0,0,1,49,255,0,0,normal
nntp,S0,0,1,1,0.06,255,12,1,1,neptune
http,SF,1,0,0,1,187,255,0,0,normal
courier,S0,0,1,1,0.05,255,6,1,1,neptune
eco_i,SF,0,0,0,1,247,247,0,0,normal
http,SF,1,0,0,1,1,255,0,0,normal
domain_u,SF,0,0,0,1,67,171,0,0,normal
private,S0,0,1,1,0.02,255,3,1,1,neptune
domain_u,SF,0,0,0,1,255,255,0,0,normal
courier,S0,0,1,1,0.07,255,8,1,1,neptune
http,REJ,0,0,0,1,6,55,0,0,normal
private,S0,0,1,1,0.33,255,12,1,1,neptune
private,S0,0,1,1,0.13,255,4,1,1,neptune
http,SF,1,0,0,1,12,255,0,0,normal
uucp,S0,0,1,1,0.06,255,8,1,1,neptune
domain_u,SF,0,0,0,1,255,166,0,0,normal
http,SF,1,0,0,1,255,255,0.01,0.01,normal
smtp,SF,1,0,0,1,126,104,0.01,0.01,normal
http,SF,1,0,0,1,36,255,0,0,normal
other,SF,0,0,0,0.33,255,1,0,0,normal
ftp,S0,0,1,1,0,255,1,1,1,neptune
private,S0,0,1,1,0.03,120,8,0.98,1,neptune
private,S0,0,1,1,0.06,255,1,1,1,neptune
private,S0,0,1,1,0.11,255,16,1,1,neptune
private,RSTR,0,0,0,1,255,2,0,0,portsweep
private,S0,0,1,1,0.19,255,11,1,1,neptune
eco_i,SF,0,0,0,1,4,200,0,0,ipsweep
time,SF,0,0,0,1,25,25,0.08,0.08,normal
http,SF,1,0,0,1,255,255,0,0,normal
finger,S0,0,1,1,0.07,255,19,1,1,neptune
ftp_data,SF,0,0,0,1,76,24,0,0,normal
domain_u,SF,0,0,0,1,255,242,0,0,normal
eco_i,SF,0,0,0,1,1,41,0,0,ipsweep
telnet,SF,1,0,0,1,51,7,0,0,normal
http,SF,1,0,0,1,23,255,0,0,normal
domain_u,SF,0,0,0,1,255,255,0,0,normal
private,S0,0,1,1,0.07,255,2,1,1,neptune
telnet,S0,0,1,1,1,135,75,0.99,0.97,neptune
http,SF,1,0,0,1,123,255,0,0,normal
exec,RSTO,0,0,0,0.07,255,4,0,0,neptune
http,SF,1,0,0,1,255,255,0,0,normal
http,SF,1,0,0.04,1,25,255,0,0.01,normal
login,S0,0,1,1,0.02,255,14,1,1,neptune
private,SF,0,0,0,0.14,255,226,0,0,normal
http,REJ,0,0,0,1,12,255,0,0,normal
Z39_50,S0,0,1,1,0.06,255,11,1,1,neptune
private,S0,0,1,1,0.01,255,9,1,1,neptune
private,S0,0,1,1,0.03,255,9,1,1,neptune
http,SF,1,0,0,1,14,255,0,0,normal
uucp,RSTO,0,0,0,0.03,255,3,0,0,neptune
private,S0,0,1,1,0.02,255,5,1,1,neptune
private,SF,0,0,0,0.08,255,24,0,0,satan
private,SF,0,0,0,1,255,21,0,0,teardrop
http,SF,1,0,0,1,255,255,0,0,normal
ecr_i,SF,0,0,0,1,255,255,0,0,smurf
ftp_data,SF,1,0,0,1,255,115,0,0,normal
telnet,SF,1,0,0,1,84,1,0,0,normal
private,REJ,0,0,0,1,27,2,0,0,ipsweep
smtp,SF,1,0,0,1,255,142,0,0,normal
ecr_i,SF,0,0,0,1,153,153,0,0,smurf
ftp_data,S0,0,1,1,0.09,255,64,1,1,neptune
http,SF,1,0,0,1,121,255,0,0,normal
domain_u,SF,0,0,0,1,255,255,0,0,normal
http,SF,1,0,0,1,12,255,0,0,normal
http,SF,1,0,0,1,52,255,0,0,normal
ftp_data,SF,0,0,0,1,219,39,0,0,normal
http,SF,1,0,0,1,170,255,0,0,normal
http,SF,1,0,0,1,255,255,0,0,normal
login,RSTO,0,0,0,0.07,255,10,0,0,neptune
http,SF,1,0,0,1,24,255,0,0,normal
whois,S0,0,1,1,0.03,255,6,1,1,neptune
ctf,S0,0,1,1,0.01,255,1,1,1,neptune
smtp,SF,1,0,0,1,173,132,0,0,normal
http,SF,1,0,0,1,9,255,0,0,normal
ecr_i,SF,0,0,0,1,255,200,0,0,smurf
private,SF,0,0,0,1,255,68,0,0,teardrop
private,S0,0,1,1,0.05,255,7,1,1,neptune
http,SF,1,0,0,1,255,255,0,0,normal
domain_u,SF,0,0,0,1,255,250,0,0,normal
private,SF,0,0,0,1,229,217,0,0,normal
private,S0,0,1,1,0.16,255,18,1,1,neptune
private,S0,0,1,1,0.46,255,16,1,1,neptune
csnet_ns,S0,0,1,1,0.05,255,15,1,1,neptune
http,SF,1,0,0,1,255,239,0,0,normal
private,REJ,0,0,0,0.17,255,13,0,0,neptune
http,SF,1,0,0,1,95,255,0,0,normal
csnet_ns,S0,0,1,1,0.01,255,8,1,1,neptune
private,S0,0,1,1,0.06,255,13,1,1,neptune
other,SF,0,0,0,1,255,3,0,0,normal
http,SF,1,0,0,1,7,255,0,0.01,normal
telnet,S0,0,1,1,0.23,255,58,1,1,neptune
http,SF,1,0,0,1,68,255,0,0,normal
http,SF,1,0,0,1,251,255,0,0,normal
private,S0,0,1,1,0.16,255,15,1,1,neptune
http,SF,1,0,0,1,79,79,0.01,0.01,back
vmnet,S0,0,1,1,0.01,255,2,1,1,neptune
domain_u,SF,0,0,0,1,255,254,0,0,normal
smtp,SF,1,0,0,1,76,169,0,0,normal
private,S0,0,1,1,0.02,255,4,1,1,neptune
urp_i,SF,0,0,0,1,255,37,0,0,normal
private,REJ,0,0,0,0.03,255,1,0,0,neptune
http,SF,1,0,0,1,9,255,0,0,normal
link,S0,0,1,1,0.09,255,21,1,1,neptune
smtp,SF,1,0,0,1,50,70,0.02,0,normal
http,SF,1,0,0,1,31,34,0,0.06,normal
login,S0,0,1,1,0.04,255,6,1,1,neptune
eco_i,SF,0,0,0,1,1,35,0,0,ipsweep
http,SF,1,0,0,1,5,255,0,0,normal
private,REJ,0,0,0,0.01,255,1,0,0,neptune
ssh,S0,0,1,1,0.09,255,18,1,1,neptune
time,S0,0,1,1,0.02,255,4,1,1,neptune
http,SF,1,0,0,1,255,255,0,0,normal
private,RSTR,0,0,0,0.08,195,2,0.01,0,portsweep
http,SF,1,0,0,1,55,255,0.02,0,normal
http,SF,1,0,0,1,21,255,0,0.01,normal
ftp_data,REJ,0,0.07,0,0.01,255,4,0.08,0,satan
domain,S0,0,1,1,0,255,1,1,1,neptune
domain_u,SF,0,0,0,1,255,224,0,0,normal
private,S0,0,1,1,0.11,255,8,1,1,neptune
domain_u,SF,0,0,0,1,255,253,0,0,normal
private,SF,0,0,0,1,155,143,0,0,normal
eco_i,SF,0,0,0,0.08,255,3,0,0,normal
http,SF,1,0,0,1,72,72,0,0,normal
login,S0,0,1,1,0.14,255,20,1,1,neptune
http,REJ,0,0,0,1,19,192,0,0,normal
ftp_data,SF,1,0,0,1,75,65,0.01,0.02,normal
http,SF,1,0,0,1,94,255,0,0,normal
http,SF,1,0,0,1,255,255,0,0,normal
http,SF,1,0,0,1,5,255,0,0,normal
http,SF,1,0,0,1,255,255,0,0,normal
private,S0,0,1,1,0.05,255,20,1,1,neptune
http,SF,1,0,0,1,255,255,0,0,normal
domain_u,SF,0,0,0,1,255,205,0,0,normal
other,SF,0,0,0,0.33,255,1,0,0,normal
ftp,SF,1,0,0,1,255,123,0,0,warezclient
eco_i,SF,0,0,0,1,1,59,0,0,ipsweep
domain_u,SF,0,0,0,1,255,254,0,0,normal
private,RSTR,0,0,0,0.5,255,1,0,0,portsweep
smtp,SF,1,0,0,1,3,135,0,0,normal
smtp,SF,1,0,0,1,2,14,0,0,normal
